date,z_carry,z_momentum,composite,position
2003-12-01,-0.9708791869667771,-1.2366085470121937,-1.1568897389985686,-1
2004-01-01,-0.9493806359740001,-1.3804785633944836,-1.2511491851683385,-1
2004-02-01,-0.9278191524822091,-0.9033591843215187,-0.9106971747697258,-1
2004-03-01,-0.9120512908568563,-1.273778061082828,-1.1652600300150364,-1
2004-04-01,-0.8999720778316079,-0.760238582580876,-0.8021586311560954,-1
2004-05-01,-0.8892088128023152,-0.8250899541526118,-0.8443256117475226,-1
2004-06-01,-0.872828188257646,-0.8711402483532736,-0.8716466303245853,-1
2004-07-01,-0.7915814214308918,-0.6761622233360773,-0.7107879827645216,-1
2004-08-01,-0.6652657748005814,-0.5177909308393356,-0.5620333840277093,-1
2004-09-01,-0.473799952990569,0.1711569257628077,-0.022330137863205313,-1
2004-10-01,-0.21108984953474133,-0.11875827470651514,-0.146457747154983,-1
2004-11-01,0.14880739781105934,-0.35878200516077025,-0.20650518426922138,-1
2004-12-01,0.6392258833399778,-0.08156792288396741,0.13467021898321613,1
2005-01-01,1.1443093564844065,0.42479448681217136,0.6406489477138418,1
2005-02-01,1.676880490579003,0.13560610028983197,0.5979884173765833,1
2005-03-01,2.0906807260332902,1.6270703321908924,1.7661534503436116,1
2005-04-01,2.379160794499765,0.02937527391964216,0.7343109300936789,1
2005-05-01,2.5701906498261775,1.0206434160482334,1.4855075861816165,1
2005-06-01,2.593479044362522,1.5806552505847657,1.8845023887180925,1
2005-07-01,2.604836193402815,1.3242235371588786,1.7084073340320596,1
2005-08-01,2.606957528332665,1.3810009516301889,1.7487879246409317,1
2005-09-01,2.5541198362120627,1.7220863637225945,1.971696405469435,1
2005-10-01,2.488630959255889,2.8141753421611946,2.716512027289603,1
2005-11-01,2.4305918799907262,3.257432062603967,3.0093800078199946,1
2005-12-01,2.3614302746152296,2.656560390838634,2.5680213559716125,1
2006-01-01,2.2829057694036656,2.1684774758307235,2.2028059639026063,1
2006-02-01,2.2198563008638432,1.7118764962844524,1.8642704376582695,1
2006-03-01,2.1446891163018584,1.5011365280440576,1.6942023045213976,1
