date,momentum
2001-01-01,0.08843286965307162
2001-02-01,0.06534165340517917
2001-03-01,0.2260101445161169
2001-04-01,0.14082288962237977
2001-05-01,0.10777670165876785
2001-06-01,0.1744174841163435
2001-07-01,0.1434190070663841
2001-08-01,0.11324648015763739
2001-09-01,0.1049663034478332
2001-10-01,0.1251034147974628
2001-11-01,0.11851040931558932
2001-12-01,0.15116280233177481
2002-01-01,0.15589642410383875
2002-02-01,0.13689417674224647
2002-03-01,0.05125559232549293
2002-04-01,0.04174097617542505
2002-05-01,0.04050988900168728
2002-06-01,-0.040000026963322055
2002-07-01,-0.041836679206150085
2002-08-01,-0.0026947342722039025
2002-09-01,0.019668550452754063
2002-10-01,0.0004084593279414239
2002-11-01,-0.007938402201418837
2002-12-01,-0.09850384598670192
2003-01-01,-0.11092156889365568
2003-02-01,-0.1151656646393645
2003-03-01,-0.11070079238766928
2003-04-01,-0.07554655859871295
2003-05-01,-0.038368487832573184
2003-06-01,0.0012550328822957812
2003-07-01,0.006511928429170366
2003-08-01,-0.013003469657679623
2003-09-01,-0.08651400112546548
2003-10-01,-0.10167413032688466
2003-11-01,-0.10492364126757947
2003-12-01,-0.09519794197880671
2004-01-01,-0.11833877081174826
2004-02-01,-0.07485813034151312
2004-03-01,-0.11693926618039663
2004-04-01,-0.07111594824057432
2004-05-01,-0.0819782578249254
2004-06-01,-0.09024814563058892
2004-07-01,-0.07631052699524887
2004-08-01,-0.06604501036028565
2004-09-01,-0.010872486966651218
2004-10-01,-0.038909079811789815
2004-11-01,-0.06130269159213886
2004-12-01,-0.04553071992713276
2005-01-01,-0.020052995857957612
2005-02-01,-0.04320367250071511
2005-03-01,0.02811630679317756
2005-04-01,-0.05182568703777868
2005-05-01,-0.010226398388575975
2005-06-01,0.01827866091270014
2005-07-01,0.009698292251574259
2005-08-01,0.013556868936126731
2005-09-01,0.030704916398942572
2005-10-01,0.10139993470416098
2005-11-01,0.16345966419246416
2005-12-01,0.15091211489922984
2006-01-01,0.13233590044788834
2006-02-01,0.10772029338682643
2006-03-01,0.09912266947061532
2006-04-01,0.08762539928561464
2006-05-01,0.038099605122533076
2006-06-01,0.032743976487755955
2006-07-01,0.01840981545605125
2006-08-01,0.06064165379069886
2006-09-01,0.03966155505298108
2006-10-01,0.003005826750108742
2006-11-01,-0.03374541325036928
2006-12-01,0.008476012642368191
2007-01-01,0.02923877228334737
2007-02-01,0.025390814562227026
2007-03-01,0.00042455351100834093
