date,nominal_diff_kalman
2000-01-01,5.45
2000-02-01,5.555000000000001
2000-03-01,5.65
2000-04-01,5.759809296781883
2000-05-01,5.904738458912877
2000-06-01,6.078243823944661
2000-07-01,6.204784970901128
2000-08-01,6.28514865769039
2000-09-01,6.281039518650832
2000-10-01,6.275343265025732
2000-11-01,6.271193411875062
2000-12-01,6.238432173578897
2001-01-01,6.1010311850696635
2001-02-01,5.868377780358064
2001-03-01,5.649969257448512
2001-04-01,5.393316489508734
2001-05-01,5.046611449571114
2001-06-01,4.728738104227586
2001-07-01,4.442711294134134
2001-08-01,4.201538833930588
2001-09-01,3.8688302632966813
2001-10-01,3.4963302824095726
2001-11-01,3.1164011924126873
2001-12-01,2.7661702451207324
2002-01-01,2.4862423691254465
2002-02-01,2.2846403392379857
2002-03-01,2.134800798990643
2002-04-01,2.030844470131728
2002-05-01,1.954972590914559
2002-06-01,1.8995979718107492
2002-07-01,1.8537800260268238
2002-08-01,1.8230416451450002
2002-09-01,1.8033089909619513
2002-10-01,1.7889072358964946
2002-11-01,1.6676321575269073
2002-12-01,1.5521046737556479
2003-01-01,1.4677876573788868
2003-02-01,1.4116525309850643
2003-03-01,1.3679810955735738
2003-04-01,1.338809331839275
2003-05-01,1.317518501289289
2003-06-01,1.2911732723934743
2003-07-01,1.2152125662439455
2003-08-01,1.1651762409564015
2003-09-01,1.1232544155271147
2003-10-01,1.092658031650563
2003-11-01,1.06762588882036
2003-12-01,1.0439532106347638
2004-01-01,1.032078977750079
2004-02-01,1.0261142047591192
2004-03-01,1.019059290125355
2004-04-01,1.0139103045041264
2004-05-01,1.0101523493333107
2004-06-01,1.0155143154519752
2004-07-01,1.081563641846315
2004-08-01,1.1756958884434654
2004-09-01,1.293025842021858
2004-10-01,1.419181811583183
2004-11-01,1.557182518321005
2004-12-01,1.7200374056214056
2005-01-01,1.8713147789085438
2005-02-01,2.041157996698298
2005-03-01,2.200237321701195
2005-04-01,2.359565372773674
2005-05-01,2.532582765616566
2005-06-01,2.66966468349598
2005-07-01,2.829147436336753
2005-08-01,3.0103824236603955
2005-09-01,3.175074398774675
2005-10-01,3.3384988076658844
2005-11-01,3.517207463935444
2005-12-01,3.6908618604980106
2006-01-01,3.8527227506536916
2006-02-01,4.02488715824907
2006-03-01,4.17755590285652
2006-04-01,4.343011480123951
2006-05-01,4.504291637184523
2006-06-01,4.63550876855713
2006-07-01,4.79881582975336
2006-08-01,4.853166983075732
2006-09-01,4.892834834705677
2006-10-01,4.9217861698061895
2006-11-01,4.942916121887321
